task_name,total_models_tested,models_that_resolve,resolving_models,non_resolving_models,model_resolve_rate
cobol-modernization,16,9,"['claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'grok-code-fast-1', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'gemini-2.5-flash', 'gpt-5-nano', 'grok-4-0709', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'zai-org/GLM-4.5-Air-FP8']",0.5625
code-from-image,16,3,"['deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-pro', 'moonshotai/Kimi-K2-Instruct-0905']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'gemini-2.5-flash', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.1875
configure-git-webserver,16,9,"['Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gpt-5', 'gpt-5-mini', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b']","['OpenAI/gpt-oss-20B', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'zai-org/GLM-4.5-Air-FP8']",0.5625
constraints-scheduling,16,12,"['Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'grok-4-0709', 'grok-code-fast-1', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']","['OpenAI/gpt-oss-20B', 'gemini-2.5-flash', 'gpt-5-nano', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8']",0.75
count-dataset-tokens,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
crack-7z-hash,16,8,"['claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'grok-4-0709', 'grok-code-fast-1', 'moonshotai/Kimi-K2-Instruct-0905']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.5
db-wal-recovery,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
distribution-search,16,5,"['claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.3125
dna-assembly,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
dna-insert,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
extract-elf,16,6,"['Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'deepseek-ai/DeepSeek-V3.1', 'gpt-5-mini', 'grok-code-fast-1', 'moonshotai/Kimi-K2-Instruct-0905']","['OpenAI/gpt-oss-20B', 'claude-sonnet-4-20250514', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-nano', 'grok-4-0709', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.375
feal-differential-cryptanalysis,16,2,"['gemini-2.5-pro', 'grok-4-0709']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.125
feal-linear-cryptanalysis,16,1,['gpt-5'],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0625
filter-js-from-html,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
financial-document-processor,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
fix-code-vulnerability,16,1,['claude-sonnet-4-20250514'],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0625
fix-git,16,12,"['Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'grok-4-0709', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']","['OpenAI/gpt-oss-20B', 'gpt-5-nano', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8']",0.75
fix-ocaml-gc,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
form-filling,16,11,"['Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-code-fast-1', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']","['OpenAI/gpt-oss-20B', 'gemini-2.5-flash', 'gemini-2.5-pro', 'grok-4-0709', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8']",0.6875
git-leak-recovery,16,10,"['Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'zai-org/GLM-4.5-Air-FP8']","['OpenAI/gpt-oss-20B', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'openai/gpt-oss-120b']",0.625
gpt2-codegolf,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
hf-model-inference,16,8,"['deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'grok-4-0709', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'zai-org/GLM-4.5-Air-FP8']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'gpt-5-nano', 'grok-code-fast-1', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b']",0.5
install-klee-minimal,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
install-windows-3.11,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
large-scale-text-editing,16,2,"['claude-opus-4-1-20250805', 'claude-sonnet-4-20250514']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.125
largest-eigenval,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
log-summary-date-ranges,16,5,"['Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'moonshotai/Kimi-K2-Instruct-0905', 'zai-org/GLM-4.5-Air-FP8']","['OpenAI/gpt-oss-20B', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'openai/gpt-oss-120b']",0.3125
make-doom-for-mips,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
make-mips-interpreter,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
merge-diff-arc-agi-task,16,3,"['gemini-2.5-pro', 'gpt-5', 'grok-code-fast-1']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.1875
model-extraction-relu-logits,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
mteb-leaderboard,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
mteb-retrieve,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
nginx-request-logging,16,6,"['claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'gemini-2.5-pro', 'gpt-5', 'grok-4-0709', 'zai-org/GLM-4.5-Air-FP8']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gpt-5-mini', 'gpt-5-nano', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b']",0.375
openssl-selfsigned-cert,16,9,"['claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'gemini-2.5-flash', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'zai-org/GLM-4.5-Air-FP8']",0.5625
password-recovery,16,1,['claude-opus-4-1-20250805'],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0625
